Brnd_Name,Gnrc_Name,Tot_Spndng_2019,Tot_Spndng_2023,Avg_Spnd_Per_Clm_2023,Tot_Clms_2023
A And D,Vits A And D/White Pet/Lanolin,79.36,144.15,13.10454546,11
A And D,Vits A And D/White Pet/Lanolin,79.36,144.15,13.10454546,11
A-Methapred,Methylprednisolone Sod Succ,307577.38,670.12,25.77384615,26
A-Methapred,Methylprednisolone Sod Succ,307577.38,670.12,25.77384615,26
Abacavir,Abacavir Sulfate,2350109.9,668314.44,109.3804321,6110
Abacavir,Abacavir Sulfate,216658.64,119332.35,202.9461735,588
Abacavir,Abacavir Sulfate,548722.73,129970.35,80.97841122,1605
Abacavir,Abacavir Sulfate,959476.4,243389.26,117.0703511,2079
Abacavir,Abacavir Sulfate,442106.18,83195.18,91.22278509,912
Abacavir,Abacavir Sulfate,4435.18,0.597808965,,
Abacavir,Abacavir Sulfate,178710.77,74783.48,82.36066079,908
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,3098091.9,1077976.84,136.8338208,7878
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,975105.68,80324.85,158.4316568,507
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,24342.52,,,
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1314334.41,601130.87,125.8385744,4777
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,808651.81,372178.6,150.8017018,2468
Abelcet,Amphotericin B Lipid Complex,229095.17,3265.17,21.7678,150
Abelcet,Amphotericin B Lipid Complex,229095.17,3265.17,21.7678,150
Abilify Asimtufii,Aripiprazole,19814028.95,,,
Abilify Asimtufii,Aripiprazole,19814028.95,,,
Abilify Maintena,Aripiprazole,460602927.1,786232036.5,2452.950742,320525
Abilify Maintena,Aripiprazole,460602927.1,786232036.5,2452.950742,320525
Abilify Mycite,Aripiprazole,22893.15,118495.26,1692.789429,70
Abilify Mycite,Aripiprazole,22893.15,118495.26,1692.789429,70
Abilify*,Aripiprazole,219720634.1,7625555.89,739.0536819,10318
Abilify*,Aripiprazole,219720634.1,7625555.89,739.0536819,10318
Abiraterone Acetate,Abiraterone Acetate,18004580.17,32281336.58,1776.530548,18171
Abiraterone Acetate,Abiraterone Acetate,1148003.41,-0.348695719,,
Abiraterone Acetate,Abiraterone Acetate,60905.62,-0.329549659,,
Abiraterone Acetate,Abiraterone Acetate,10202587.26,3041116.78,1765.012641,1723
Abiraterone Acetate,Abiraterone Acetate,334694.67,,,
Abiraterone Acetate,Abiraterone Acetate,844909.98,,,
Abiraterone Acetate,Abiraterone Acetate,948745.62,7326658.05,3316.73067,2209
Abiraterone Acetate,Abiraterone Acetate,1832167.15,,,
Abiraterone Acetate,Abiraterone Acetate,100108.13,96261.9,184.7637236,521
Abiraterone Acetate,Abiraterone Acetate,58909.63,0.778337905,,
Abiraterone Acetate,Abiraterone Acetate,6268365.14,4223526.09,4877.050912,866
Abiraterone Acetate,Abiraterone Acetate,569935.23,,,
Abiraterone Acetate,Abiraterone Acetate,484774.02,8338728.16,1128.379995,7390
Abiraterone Acetate,Abiraterone Acetate,2462833.38,,,
Abiraterone Acetate,Abiraterone Acetate,3025.36,,,
Abraxane,Paclitaxel Protein-Bound,65194927.11,31624537.65,1898.459458,16658
Abraxane,Paclitaxel Protein-Bound,65194927.11,31624537.65,1898.459458,16658
Abrysvo,"Rsv Vacc, Pref A And Pref B/PF",1525733.81,,,
Abrysvo,"Rsv Vacc, Pref A And Pref B/PF",1525733.81,,,
Absorica,Isotretinoin,7616076.18,1849078.01,1828.959456,1011
Absorica,Isotretinoin,7616076.18,1849078.01,1828.959456,1011
Absorica Ld,"Isotretinoin, Micronized",985814.98,0.057325502,,
Absorica Ld,"Isotretinoin, Micronized",985814.98,0.03104522,,
Acamprosate Calcium,Acamprosate Calcium,6313666.55,10196771.86,89.2301191,114275
Acamprosate Calcium,Acamprosate Calcium,2127735.99,4867188.2,86.49549857,56271
Acamprosate Calcium,Acamprosate Calcium,1842.59,47012.01,271.7457225,173
Acamprosate Calcium,Acamprosate Calcium,55031.27,3754.54,104.2927778,36
Acamprosate Calcium,Acamprosate Calcium,171898.72,567801.8,94.75997997,5992
Acamprosate Calcium,Acamprosate Calcium,2042.85,,,
Acamprosate Calcium,Acamprosate Calcium,3957157.98,4708972.46,90.97529916,51761
Acanya,Clindamycin Phos/Benzoyl Perox,135000.4,218404.41,532.6936829,410
Acanya,Clindamycin Phos/Benzoyl Perox,135000.4,218404.41,532.6936829,410
Acarbose,Acarbose,1518012.2,1574998.13,29.47447657,53436
Acarbose,Acarbose,410508.23,497900.99,30.41545449,16370
Acarbose,Acarbose,307249.74,133624.11,31.29370258,4270
Acarbose,Acarbose,797562.73,832966.9,28.87433791,28848
Acarbose,Acarbose,2691.5,110506.13,27.9904078,3948
Accrufer,Ferric Maltol,6373.54,,,
Accrufer,Ferric Maltol,6373.54,,,
Accutane,Isotretinoin,56118.48,,,
Accutane,Isotretinoin,56118.48,,,
Ace Aerosol Cloud Enhancer,"Inhaler, Assist Devices",1313.98,,,
Ace Aerosol Cloud Enhancer,"Inhaler, Assist Devices",1313.98,,,
Acebutolol HCl,Acebutolol HCl,145315.63,295075.71,50.8838955,5799
Acebutolol HCl,Acebutolol HCl,16978.33,,,
Acebutolol HCl,Acebutolol HCl,145315.63,160186.07,47.57531037,3367
Acetadote,Acetylcysteine,54948.95,41778.64,273.0630065,153
Acetadote,Acetylcysteine,54948.95,41778.64,273.0630065,153
Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,149993.32,23822.23,205.3640517,116
Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,149993.32,23822.23,205.3640517,116
Acetaminophen*,Acetaminophen,621.56,32238073.82,186.6255677,172742
Acetaminophen*,Acetaminophen,621.56,723.84,6.893714286,105
Acetaminophen*,Acetaminophen,353.88,,,
Acetaminophen*,Acetaminophen,66053.93,,,
Acetaminophen*,Acetaminophen,0,,,
Acetaminophen*,Acetaminophen,35982.39,-0.329657146,,
Acetaminophen*,Acetaminophen,984887.76,,,
Acetaminophen*,Acetaminophen,10810.86,,,
Acetaminophen*,Acetaminophen,39484.89,-0.071461239,,
Acetaminophen*,Acetaminophen,5476.22,-0.276134506,,
Acetaminophen*,Acetaminophen,334172.04,,,
Acetaminophen*,Acetaminophen,257924.15,,,
Acetaminophen*,Acetaminophen,0,0.725488422,,
Acetaminophen*,Acetaminophen,711.62,,,
Acetaminophen*,Acetaminophen,53440.34,,,
Acetaminophen*,Acetaminophen,1033.53,,,
Acetaminophen-Codeine,Acetaminophen With Codeine,12467291.24,10982260.76,11.50464047,954594
Acetaminophen-Codeine,Acetaminophen With Codeine,17103.25,0.258472258,,
Acetaminophen-Codeine,Acetaminophen With Codeine,5587816.2,7549495.49,12.59063443,599612
